               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11993,            0.015094,                   0,          0.00079478,             0.22945,          0.00061769,          0.00013558,             0.11149,            0.012231,                   0,            0.070833,           0.0032407,           0.0032407
                   1,             0.10374,            0.015852,                   0,          0.00090154,             0.26027,           0.0011165,          0.00028749,            0.099426,            0.012533,                   0,            0.040703,           0.0064439,           0.0064439
                   2,            0.096946,            0.015193,                   0,           0.0013167,             0.38014,           0.0038058,           0.0010316,            0.092625,            0.012149,                   0,            0.010441,           0.0095151,           0.0095151
                   3,            0.086539,             0.01688,                   0,           0.0020285,             0.58562,            0.041362,            0.010423,            0.085433,            0.012762,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.080527,            0.018829,                   0,           0.0025343,             0.72945,             0.01989,           0.0066252,            0.084513,             0.01253,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.076264,            0.017245,                   0,            0.002995,             0.83219,            0.092212,            0.028278,            0.067336,            0.013793,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.066123,             0.01787,                   0,            0.048691,             0.65068,             0.32153,             0.12578,            0.060297,             0.01313,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.06122,            0.015946,                   0,             0.21411,             0.14041,             0.12049,            0.036354,            0.067833,            0.011675,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.059736,            0.015691,                   0,             0.44507,             0.45548,             0.38656,             0.11801,            0.057839,            0.011707,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.055307,            0.014826,                   0,             0.46881,             0.44863,              0.4267,             0.14932,            0.052455,            0.011296,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.056269,            0.013731,                   0,             0.52815,             0.58219,             0.51902,             0.19726,            0.049595,            0.010811,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.052717,            0.013079,                   0,             0.61329,             0.58219,             0.61847,             0.28072,             0.04579,           0.0096323,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.052025,            0.011985,                   0,             0.58951,             0.63014,             0.59189,             0.24061,              0.0441,           0.0094057,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.051461,            0.011443,                   0,             0.54349,             0.51027,             0.48927,             0.18813,             0.04817,           0.0096663,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.046362,            0.011775,                   0,             0.67703,             0.75378,                0.72,             0.35319,            0.041808,           0.0085763,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.050454,            0.010885,                   0,             0.68849,             0.68121,             0.71838,             0.28996,              0.0478,           0.0082924,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.04551,            0.010084,                   0,             0.67726,             0.68991,             0.66006,             0.29152,            0.046139,           0.0082834,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.043346,            0.010068,                   0,             0.75032,             0.73288,             0.71806,             0.35686,            0.040865,           0.0077579,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.044332,           0.0099837,                   0,             0.71597,             0.73378,             0.71384,             0.31321,            0.041317,           0.0078924,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.043036,           0.0096384,                   0,              0.7878,             0.76712,             0.79902,             0.38887,            0.038976,           0.0070567,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.043303,           0.0089861,                   0,             0.79064,             0.77055,             0.79318,             0.38999,            0.037213,           0.0069769,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.042169,           0.0092613,                   0,             0.81289,             0.80137,             0.82856,             0.45567,            0.034415,            0.006827,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.040178,           0.0088474,                   0,             0.80871,              0.7774,             0.82994,             0.44008,            0.036965,           0.0066454,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.039586,           0.0086275,                   0,             0.79903,             0.80333,             0.83649,             0.41615,            0.038559,           0.0066231,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.040933,           0.0086556,                   0,             0.77219,             0.82534,             0.80659,             0.40657,            0.040564,           0.0066017,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.041734,           0.0091247,                   0,             0.79362,             0.81164,              0.8117,             0.43667,            0.035445,           0.0063438,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.037025,           0.0085633,                   0,             0.82236,             0.81164,             0.86003,             0.46817,            0.033664,           0.0062725,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.038816,           0.0084635,                   0,             0.79876,             0.81164,             0.84015,             0.42724,            0.034958,           0.0062232,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.037811,           0.0083374,                   0,             0.80775,             0.82877,             0.85506,             0.48852,            0.034176,           0.0061662,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.041006,           0.0085661,                   0,              0.7308,             0.75685,             0.76194,             0.35616,            0.039563,           0.0074425,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.035032,           0.0082148,                   0,             0.77763,              0.8383,             0.86383,             0.48056,            0.032499,           0.0059551,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.036242,           0.0080456,                   0,             0.74635,             0.83562,              0.8273,             0.45202,            0.031287,           0.0063546,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.03493,           0.0075924,                   0,              0.7734,             0.84247,             0.85002,             0.45865,            0.031691,           0.0061477,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.033984,           0.0082041,                   0,             0.79471,             0.87497,             0.88349,             0.51435,            0.030549,           0.0057279,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.033408,           0.0075658,                   0,             0.79924,             0.87257,             0.89598,             0.50632,            0.031791,           0.0056794,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.033973,           0.0077158,                   0,             0.79503,             0.87671,              0.8971,             0.53158,             0.02951,           0.0056845,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.033744,           0.0077637,                   0,              0.7769,             0.88356,             0.88278,             0.49868,            0.029895,           0.0057869,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.033062,           0.0076922,                   0,             0.79862,             0.89726,             0.89672,             0.51094,             0.02904,           0.0056251,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.032961,           0.0078015,                   0,             0.83597,             0.86986,             0.90837,             0.52939,            0.028687,            0.005628,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.031247,           0.0072369,                   0,             0.83857,             0.87671,             0.90682,             0.53429,             0.02834,           0.0054707,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031789,           0.0077142,                   0,             0.82763,             0.87671,             0.90615,             0.53978,            0.028221,           0.0054095,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030121,           0.0069201,                   0,             0.83204,             0.88218,             0.90732,             0.53664,            0.028604,           0.0054426,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.034137,           0.0074195,                   0,             0.84045,             0.87671,             0.91132,             0.54552,            0.028135,           0.0054897,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.031046,           0.0074784,                   0,             0.84926,             0.85959,             0.90533,             0.54697,              0.0283,           0.0054301,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030074,           0.0076604,                   0,             0.84867,             0.86427,             0.91216,             0.56452,            0.026654,           0.0053271,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031866,           0.0078071,                   0,             0.84596,             0.86517,             0.91131,             0.57077,            0.026674,            0.005271,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.030319,           0.0071542,                   0,             0.84109,             0.87671,              0.9113,             0.56726,            0.025991,           0.0052509,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030352,           0.0076669,                   0,             0.82784,             0.88924,             0.91839,             0.57773,             0.02529,           0.0052034,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029718,           0.0079048,                   0,             0.83239,             0.88356,             0.91671,             0.57395,            0.025058,           0.0051627,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.030285,           0.0075184,                   0,             0.83406,             0.87785,             0.91803,             0.57204,            0.025673,           0.0051645,                   0,            0.000496,            0.000496,            0.000496
